date_saisie,platfo,url,nro_id,ed,etab_aut_aff,tit,exist_trail,charge_trav_MOY,exist_syll,nbr_sem,sem_zero,expli_objectif,expli_objectif_txt,publ_expli_pres,cat_publ_pres,ENG,prereq_expli,publ_expli_pres_txt,etud,pro,gp,prereq_expli_txt,prereq_expli_techn,prereq_expli_connais,expli_zero_prereq,detail_nfp,prereq_expli_RF,prereq_expli_RNF,prereq_expli_RC,nbr_etab_contr,taille_equipe,nbr_PERSCLEF,nbr_MC,nbr_PU,nbr_chercheur,nbr_POST,nbr_ETUD,nbr_expert_extérieur,nbr_lien_rés,exist_eval,eval_txt,exist_attest,attest_formel,parcours,cond_util
03/03/2016,FUN,https://www.fun-mooc.fr/courses/amu/38003/session01/about,38003,1,amu,Le langage entre nature et culture,OUI,2,OUI,5,NON,NON,L’objectif de ce MOOC est de vous faire découvrir quelques éléments-clés de ce que nous savons aujourd’hui du langage humain - cette formidable faculté de communication et d’élaboration de la pensée dont nous sommes dotés.,OUI,NDP,NON,OUI,"Prérequis
Ce cours s’adresse à tout public. Il ne débouche sur aucune application. Son seul objet est la connaissance.",NON,NON,OUI,"Prérequis
Ce cours s’adresse à tout public. Il ne débouche sur aucune application. Son seul objet est la connaissance.",NON,NON,OUI,,NON,NON,NON,1,3,3,3,0,0,0,0,0,0,NON,"Ce MOOC est organisé en 5 semaines. Chaque semaine correspond à deux heures de travail pour les étudiants. Les séances reposent sur divers médias pédagogiques : séquences de cours filmés, textes, diaporamas commentés, films d’animations, exercices, auto-évaluations.",NON,NON,NON,CC-BY-NC-ND
03/03/2016,FUN,https://www.fun-mooc.fr/courses/bordeauxmontaigne/07002S02/session02/about,07002S02,2,bordeauxmontaigne - COMUE d'Aquitaine,"Les chansons des troubadours
",OUI,2,OUI,6,NON,NON,NA,OUI,NDP,NON,OUI,"Public cible et pré-requis
Ce MOOC s'adresse à toute personne intéressée par le sujet.

En dehors d'une curiosité pour le sujet, aucun pré-requis n'est nécessaire pour ce cours.",NON,NON,OUI,"Public cible et pré-requis
Ce MOOC s'adresse à toute personne intéressée par le sujet.

En dehors d'une curiosité pour le sujet, aucun pré-requis n'est nécessaire pour ce cours.",NON,NON,OUI,GP,NON,NON,NON,1,1,1,1,0,0,0,0,0,0,OUI,"Évaluation
Ce cours est évalué grâce à des quizz hebdomadaires, ainsi que par un essai évalué par les pairs en dernière semaine, qui compte pour 50% de l'évaluation.

Ce cours donne lieu à une attestation de suivi avec succès.",OUI,NON,NON,CC-BY-NC-SA
04/03/2016,FUN,https://www.fun-mooc.fr/courses/CNAM/01006S02/session02/about,01006S02,2,CNAM,Dernières nouvelles du crime,OUI,"2,5",OUI,6,NON,OUI,"L'objectif de ce cours est de fournir un outil susceptible d'éclairer le public sur les grandes évolutions criminelles qui ont, d'une certaine manière, été à l'origine de la construction de notre Etat et ont fait notre histoire ; d'amener à comprendre que la perception de la violence et du crime a évolué au cours du temps.",OUI,NDP,NON,OUI,"À qui s'adresse ce cours ?
Au grand public

Prérequis
Aucun prérequis est nécessaire",NON,NON,OUI,"À qui s'adresse ce cours ?
Au grand public

Prérequis
Aucun prérequis est nécessaire",NON,NON,OUI,GP,NON,NON,NON,1,1,1,0,1,0,0,0,0,0,OUI,"Évaluation
Des épreuves hebdomadaires de type QCM, permettent l’obtention de l’attestation de suivi avec succès..",OUI,NON,NON,CC-BY-NC-ND
04/03/2016,FUN,https://www.fun-mooc.fr/courses/CNAM/01019/session01/about,01019,1,CNAM,Terrorismes,OUI,2,OUI,6,NON,OUI,Ce cours a pour objectif de fournir une meilleure connaissance et une plus grande capacité d’analyse de l’information sur les problématiques terroristes.,OUI,NDP,NON,OUI,"CE COURS S'ADRESSE 
Au grand public, sans aucun prérequis.",NON,NON,OUI,"CE COURS S'ADRESSE 
Au grand public, sans aucun prérequis.",NON,NON,OUI,GP,NON,NON,NON,1,1,1,0,1,0,0,0,0,0,OUI,"Evaluation : des épreuves hebdomadaires de type QCM, permettent l’obtention de l’attestation de suivi avec succès.",OUI,NON,NON,CC-BY-NC-ND
03/03/2016,FUN,https://www.fun-mooc.fr/courses/EcoleAir/65001/session01/about,65001,1,EcoleAir,Compréhension de l'arme aérienne,OUI,"2,5",OUI,6,NON,OUI,"C'est un MOOC introductif qui cherche à faire appréhender aux élèves les contraintes et forces d’une armée à forte dominante technologique. Le module vise également à faire comprendre aux élèves les impératifs physiques d'une utilisation de la troisième dimension. Le module tente donc de faire la synthèse des contraintes politiques, physiques et opérationnelles qui dimensionnent l'utilisation du ciel et de l'espace à des fins militaires.

Son but est de faire acquérir, par une approche capacitaire, la compréhension de l’ensemble du spectre des missions dévolues aux forces aériennes. Il traite de façon introductive les principes physiques liés au fonctionnement des aéronefs et systèmes d’armes et des moyens mis en œuvre dans l’armée de l’air. Il traite également des aspects stratégiques et opérationnels de l'emploi de l'aviation militaire.",OUI,NDP,NON,OUI,"PUBLIC
Le cours est ouvert à tous dans la mesure où il est introductif. En l’occurrence, les étudiants intéressés par les problématiques de défense nationale lié au domaine de l’aviation.",OUI,NON,OUI,"PRÉ-REQUIS
Les pré-requis nécessaires pour suivre le cours sont de niveau lycée.",NON,OUI,NON,LYC,OUI,NON,NON,1,8,8,0,0,1,0,0,7,0,OUI,"ÉVALUATION
L’évaluation de vos connaissances se fera en continu, sur la base de QCM autocorrectifs qui vous seront proposés chaque semaine.",NON,NON,NON,LICENCE RESTRICTIVE
03/03/2016,FUN,https://www.fun-mooc.fr/courses/en3s/77001/session01/about,77001,1,en3s,Comprendre les enjeux de la protection sociale,OUI,2,OUI,6,NON,NON,NA,OUI,NDP,NON,OUI,"Pré-requis
Ce cours s’adresse à toute personne qui désire mieux comprendre des institutions dont le budget global est supérieur à celui de l’Etat et que des mécanismes complexes rendent difficile à appréhender.

Aucun pré-requis n'est demandé.",NON,NON,OUI,"Pré-requis
Ce cours s’adresse à toute personne qui désire mieux comprendre des institutions dont le budget global est supérieur à celui de l’Etat et que des mécanismes complexes rendent difficile à appréhender.

Aucun pré-requis n'est demandé.",NON,NON,OUI,GP,NON,NON,NON,5,7,7,1,1,0,0,0,5,0,OUI,"Evaluation
Des QCM autocorrectifs permettent aux apprenants de vérifier, chaque semaine, qu’ils ont bien compris et acquis les éléments fondamentaux.",NON,NON,NON,CC-BY-NC-ND
03/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/ENSCachan/20004S02/session02/about,20004S02,2,ENSCachan,Introduction à la logique informatique - Partie 1 : calcul propositionnel,OUI,2,OUI,6,NON,NON,"Le cours présentera les bases de la logique informatique: cette première partie traitera de calcul propositionnel; une seconde partie, à venir, abordera la logique du premier ordre. Un perroquet menteur et des problèmes de pavage nous permettrons d'introduire plusieurs interprétations des formules, et plusieurs systèmes de preuve formelle... et le entscheindungsproblem!",OUI,NDP,NON,OUI,"Public visé
Ce cours s'adresse à un public large désireux de découvrir la logique informatique: professeurs de mathématiques, étudiants en licence, ingénieurs, etc. Ce cours sera un pré-requis pour les saisons à venir de ce MOOC.",OUI,OUI,OUI,"Pré-requis
Ce cours ne suppose aucune connaissance spécifique préalable, mais s'adresse cependant à un public ayant une pratique du raisonnement mathématique. Il est souhaitable d'avoir le niveau L2 en mathématiques. Il n'y a aucun pré-requis en informatique.",NON,OUI,NON,L2,OUI,NON,NON,1,3,3,1,2,0,0,0,0,0,OUI,"Déroulement du cours
Ce cours se déroule sur six semaines. Chaque semaine, nous vous proposons:

environ quarante-cinq minutes de vidéos, découpées en deux à quatre segments ;
des quizz ;
des notes de cours, incluant des exercices d'approfondissement.
L'attestation de suivi avec succès FUN sera uniquement basée sur les réponses aux quizz.",OUI,NON,NON,CC-BY-NC-ND
03/03/2016,FUN,https://www.fun-mooc.fr/courses/ferrandiparis/49001/session01/about,49001,1,ferrandiparis,Design culinaire,OUI,3,OUI,6,NON,OUI,"Objectifs pédagogiques
Découvrir la discipline du Design Culinaire.
S’initier à la méthodologie du Design Culinaire.
Appliquer la méthodologie de Design à un matériau alimentaire, à la création de recettes et à l’organisation d’un événement culinaire.",OUI,NDP,NON,OUI,"Public et pré-requis
Tous les curieux, passionnés de cuisine (professionnels et amateurs) qui ont envie de challenger leur créativité.",NON,OUI,OUI,"Public et pré-requis
Tous les curieux, passionnés de cuisine (professionnels et amateurs) qui ont envie de challenger leur créativité.",NON,NON,OUI,GP,NON,NON,NON,1,3,3,0,0,0,0,0,3,0,OUI,"Evaluation
QCM à chaque projet sur les connaissances acquises (méthodologie, fabrication, techniques...)
Réalisation de travaux pratiques sur un mode individuel et collaboratif, rendu en ligne des dossiers avec photos et évaluation des travaux par les pairs (vote en ligne pour « Prix du public »)
Prix du Jury FERRANDI à partir des 50 travaux ayant obtenus le plus de votes du public.
Attestation
Les participants ayant complété les QCM et ayant réalisé un dossier complet comprenant trois projets commentés pourront demander une attestation de suivi avec succès du MOOC Design Culinaire de FERRANDI.",OUI,NON,NON,LICENCE RESTRICTIVE
28/01/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/ICP/84001/session01/about,84001,1,ICP,Géopolitique de la Chine contemporaine,OUI,1,OUI,6,NON,NON,NA,OUI,NDP,,OUI,"Ce MOOC est le premier portant sur la géopolitique de la Chine. Il convient à tout public désireux de se former aux affaires chinoises et plus particulièrement aux personnes qui, dans leur domaine professionnel, seront amenées à travailler en rapport avec la Chine. Mais aussi à tous ceux qui souhaitent s’initier à la culture et à l’histoire récente de la Chine. ",NON,OUI,OUI,"MOOC Géopolitique de la Chine contemporaine : Il n’y a aucun pré-requis obligatoire pour suivre ce cours. Il convient à tout public désireux de se former aux affaires chinoises et plus particulièrement aux personnes qui, dans leur domaine professionnel, seront amenées à travailler en rapport avec la Chine. Mais aussi à tous ceux qui souhaitent s’initier à la culture et à l’histoire récente de la Chine.",NON,NON,OUI,GP,NON,NON,NON,1,1,1,0,1,0,0,0,0,0,OUI,"Format
Vous serez amenés à suivre ce cours durant 6 semaines. Chaque semaine, nous vous proposons de visionner 30 minutes de vidéo, des documents et de vérifier vos connaissances à partir d'un quizz d'évaluation. Les vidéos sont découpés en 5 rubriques d’environ 5 minutes chacune. Les cours sont présentés par Emmanuel Lincot, Professeur d’histoire politique et culturelle de la Chine contemporaine à l’Institut Catholique de Paris.(...) Évaluation
Ce MOOC comporte des questionnaires qui permettent de fixer les connaissances à l'issue du visionnage des vidéos, à la fin de chaque semaine. Pour obtenir l'attestation de suivi avec succès, il est nécessaire d’obtenir une note supérieure ou égale à 10/20. L'attestation sera téléchargeable sur votre tableau de bord à la fin du MOOC.",OUI,NON,NON,CC-BY-NC-ND
03/03/2016,FUN,https://www.fun-mooc.fr/courses/IPGP/51001/session01/about,51001,1,IPGP,Volcanologie physique : des phénomènes aux processus,OUI,3,OUI,6,NON,NON,Le MOOC « Volcanologie physique » a pour objectif de répondre à ces questions en introduisant les connaissances géologiques de référence et les méthodes de base des sciences physiques nécessaires à la compréhension du fonctionnement des volcans. Au fur et à mesure des sessions nous progresserons de la description des phénomènes volcaniques à l'identification et la modélisation des processus physiques générant ces phénomènes. Nous découvrirons ainsi l'approche et les méthodes de la volcanologie physique.,OUI,NDP,NON,OUI,"Public
Ce MOOC s'adresse à toute personne intéressée par les volcans et souhaitant approfondir sa connaissance et sa compréhension des phénomènes volcaniques.

",NON,NON,OUI,"PRÉREQUIS
Le cours est proposé en français uniquement. La majeure partie des contenus sera accessible au plus grand nombre, mais un niveau en mathématiques correspondant à une terminale scientifique sera nécessaire pour en assimiler les aspects les plus théoriques (présentés en semaine 5).",NON,OUI,NON,LYC,OUI,NON,NON,1,8,1,0,1,0,0,0,0,0,OUI,"MODALITÉ D'ÉVALUATION
Une attestation de suivi avec succès sera délivrée aux personnes qui auront donné une réponse correcte à au moins 75% des questionnaires d'évaluation proposés à la fin de chaque session vidéo.",OUI,NON,NON,CC-BY-NC-SA
