Course Id;Course Name;Provider;Institutions;Parent.Subject;Child.Subject;Url;Date;Length;;
301;Introduction to Artificial Intelligence;Udacity;Stanford University;Computer Science;Artificial Intelligence;https://www.ai-class.com/;2011-10-01;10;;
303;Introduction to Databases;Coursera;Stanford University;Programming;Databases;https://www.coursera.org/course/db;Self paced;NA;;
305;Software as a Service;Coursera;University of California, Berkeley;Programming;Web Development;https://www.coursera.org/course/saas;2012-02-20;5;;
306;Human-Computer Interaction;Coursera;University of California, San Diego ;Art & Design;Design & Creativity;https://www.coursera.org/course/hciucsd;2014-06-30;9;;
307;Natural Language Processing;Coursera;Columbia University;Computer Science;Artificial Intelligence;https://www.coursera.org/course/nlp;;10;;
308;Game Theory;Coursera;Stanford University|||The University of British Columbia;Social Sciences;Economics;https://www.coursera.org/course/gametheory;2014-10-03;9;;
309;Probabilistic Graphical Models;Coursera;Stanford University;Computer Science;Artificial Intelligence;https://www.coursera.org/course/pgm;2013-04-08;11;;
313;Technology Entrepreneurship;;NA;Business & Management;Entrepreneurship;http://eesley.blogspot.com/;2012-04-16;9;;
316;Information Theory;Coursera;The Chinese University of Hong Kong;Engineering;Electrical Engineering;https://www.coursera.org/course/informationtheory;2015-01-05;18;;
317;Model Thinking;Coursera;University of Michigan;Social Sciences;Sociology;https://www.coursera.org/course/modelthinking;2015-06-01;10;;
318;Computer Security;Coursera;Stanford University;Computer Science;NA;https://www.coursera.org/course/security;NA;NA;;
319;Artificial Intelligence for Robotics;Udacity;Stanford University;Computer Science;Artificial Intelligence;https://www.udacity.com/course/artificial-intelligence-for-robotics--cs373?utm_medium=referral&utm_campaign=api;Self paced;8;;
320;Intro to Computer Science;Udacity;University of Virginia;Computer Science;NA;https://www.udacity.com/course/intro-to-computer-science--cs101?utm_medium=referral&utm_campaign=api;Self paced;12;;
322;Computer Vision: The Fundamentals;Coursera;University of California, Berkeley;Computer Science;Artificial Intelligence;https://www.coursera.org/course/vision;;NA;;
323;Design of Computer Programs;Udacity;Stanford University;Computer Science;Theoretical Computer Science;https://www.udacity.com/course/design-of-computer-programs--cs212?utm_medium=referral&utm_campaign=api;Self paced;8;;
324;Web Development;Udacity;NA;Programming;Web Development;http://www.udacity.com/overview/Course/cs253;Self paced;7;;
325;Programming Languages;Udacity;University of Virginia;Programming;NA;https://www.udacity.com/course/programming-languages--cs262?utm_medium=referral&utm_campaign=api;Self paced;8;;
326;Applied Cryptography;Udacity;University of Virginia;Computer Science;Theoretical Computer Science;https://www.udacity.com/course/applied-cryptography--cs387?utm_medium=referral&utm_campaign=api;Self paced;8;;
328;Compilers;Coursera;Stanford University;Computer Science;NA;https://www.coursera.org/course/compilers;;11;;
329;Introduction to Logic;Coursera;Stanford University;Humanities;Philosophy;https://www.coursera.org/course/intrologic;2015-09-28;8;;
331;Calculus: Single Variable;Coursera;University of Pennsylvania;Mathematics;Calculus & Mathematical Analysis;https://www.coursera.org/course/calcsing;2015-05-22;13;;
332;Analytic Combinatorics, Part I;Coursera;Princeton University;Mathematics;Calculus & Mathematical Analysis;https://www.coursera.org/course/introACpartI;2013-02-08;NA;;
333;Analytic Combinatorics, Part II;Coursera;Princeton University;Mathematics;Calculus & Mathematical Analysis;https://www.coursera.org/course/introACpartII;2013-03-29;NA;;
334;Statistics One;Coursera;Princeton University;Mathematics;Statistics & Probability;https://www.coursera.org/course/stats1;2013-09-22;NA;;
335;Internet History, Technology, and Security;Coursera;University of Michigan;Computer Science;NA;https://www.coursera.org/course/insidetheinternet;Self paced;NA;;
336;Networked Life;Coursera;University of Pennsylvania;Social Sciences;Sociology;https://www.coursera.org/course/networks;2014-09-01;NA;;
337;Securing Digital Democracy;Coursera;University of Michigan;Social Sciences;Law;https://www.coursera.org/course/digitaldemocracy;2014-10-06;7;;
338;Social Network Analysis;Coursera;University of Michigan;Computer Science;Data Science and Big Data;https://www.coursera.org/course/sna;2014-10-06;NA;;
339;Algorithms, Part I;Coursera;Princeton University;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/algs4partI;2015-01-23;6;;
340;Algorithms, Part II;Coursera;Princeton University;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/algs4partII;2015-03-20;6;;
342;Computer Architecture;Coursera;Princeton University;Computer Science;NA;https://www.coursera.org/course/comparch;2014-09-20;11;;
343;Gamification;Coursera;University of Pennsylvania;Business & Management;Business Development;https://www.coursera.org/course/gamification;2015-01-26;NA;;
344;Health Policy and the Affordable Care Act;Coursera;University of Pennsylvania;Health & Medicine;Public & Global Health;https://www.coursera.org/course/healthpolicy;2013-03-25;NA;;
345;Introduction to Finance;Coursera;University of Michigan;Business & Management;Finance;https://www.coursera.org/course/introfinance;2015-06-01;15;;
346;Basic Behavioral Neurology;Coursera;University of Pennsylvania;Science;Biology;https://www.coursera.org/course/neurobehavior;NA;NA;;
