Country;HDI;Rank;x;Country.en;
Afghanistan;B;176;1;Afghanistan;
Afrique du Sud;M;122;2;South Africa;
Albanie;H;70;3;Albania;
Algérie;H;92;4;Algeria;
Allemagne;TH;5;5;Germany;
Andorre;TH;33;6;Andorra;
Angola;B;147;7;Angola;
;;;;Antarctica;
Antigua et Barbuda;H;67;8;Antigua and Barbuda;
Arabie saoudite;H;58;9;Saudi Arabia;
Argentine;TH;45;10;Argentina;
Arménie;H;86;11;Armenia;
;;;;Aruba;
Australie;TH;2;12;Australia;
Autre;NA;;13;Other;
Autriche;TH;18;14;Austria;
Azerbaidjan;H;81;15;Azerbaijan;
Bahamas;H;49;16;Bahamas;
Bahrein;H;48;17;Bahrain;
Bangladesh;B;145;18;Bangladesh;
Barbades;TH;38;19;Barbados;
Belgique;TH;17;20;Belgium;
Belize;M;95;21;Belize;
Bénin;B;167;22;Benin;
;;;;Bermuda;
Bhoutan;M;139;23;Bhutan;
Biélarusse;H;50;24;Belarus;
Birmanie;B;148;25;Burma;
Bolivie;M;107;26;Bolivia;
Bosnie Herzégovine;H;80;27;Bosnia and Herzegovina;
Botswana;M;118;28;Botswana;
Brésil;H;84;29;Brazil;
Brunei;TH;30;30;Brunei;
Bulgarie;H;57;31;Bulgaria;
Burkina Faso;B;184;32;Burkina Faso;
Burundi;B;179;33;Burundi;
Cambodge;M;137;34;Cambodia;
Cameroun;B;149;35;Cameroon;
Canada anglophone;TH;11;36;Canada;
Canada francophone (Québec);TH;11;37;Canada;
Cap vert;M;131;38;Cabo Verde;
Chili;TH;40;39;Chile;
Chine;M;100;40;China;
Chypre;TH;31;41;Cyprus;
Colombie;H;90;42;Colombia;
Comorres;B;170;43;China;
Congo-Brazzaville;B;141;44;Congo;
Congo-Kinshasa;B;187;45;Congo (the Democratic Republic of the);
Corée du Sud;TH;12;46;South Korea;
Corée du North;B;;;North Korea;Comoros
Costa Rica;H;62;47;Costa Rica;
Côte d'Ivoire;B;169;48;CÃ´te d'Ivoire;
Croatie;TH;47;49;Croatia;
Cuba;H;59;50;Cuba;
Danemark;TH;15;51;Denmark;
Djibouti;B;165;52;Djibouti;
Egypte;M;111;53;Egypt;
Emirats Arabes Unis;TH;42;54;United Arab Emirates;
Equateur;H;88;55;Ecuador;
Erythrée;B;182;56;Eritrea;
Espagne;TH;23;57;Spain;
Estonie;TH;34;58;Estonia;
Etats-Unis d'Amérique;TH;3;59;United States of America;
Ethiopie;B;174;60;Ethiopia;
Fiji;M;97;61;Fiji;
Finlande;TH;21;62;Finland;
France;TH;20;63;France;
Gabon;M;105;64;Gabon;
Gambie;B;166;65;Gambia;
Géorgie;H;72;66;Georgia;
Ghana;M;134;67;Ghana;
Grèce;TH;29;68;Greece;
Grenade;H;63;69;Grenada;
Guatemala;M;132;70;Guatemala;
Guinée;B;180;71;Guinea;
Guinée équatoriale;M;135;72;Equatorial Guinea;
Guinée-Bissau;B;177;73;Guinea-Bissau;
Guyana;M;117;74;Guyana;
Haïti;B;161;75;Haiti;
Honduras;M;119;76;Honduras;
Hong Kong;TH;13;77;Hong Kong;
Hongrie;TH;37;78;Hungary;
Iles Salomon;B;142;79;Salomon Islands;
Inde;M;136;80;India;
Indonésie;M;120;81;Indonesia;
Irak;M;130;82;Iraq;
Iran;H;75;83;Iran;
Irlande;TH;7;84;Ireland;
Islande;TH;14;85;Iceland;
Israël;TH;16;86;Israel;
Italie;TH;25;87;Italy;
Jamaïque;H;85;88;Jamaica;
Japon;TH;10;89;Japan;
Jordanie;M;99;90;Jordan;
Kazakhstan;H;69;91;Kazakhstan;
Kenya;B;144;92;Kenya;
Kirghistan;M;124;93;Kyrgyzstan;
Kiribati;M;121;94;Kiribati;
Koweit;H;54;95;Kuwait;
Laos;M;138;96;Laos;
Lesotho;B;157;97;Lesotho;
Lettonie;TH;44;98;Latvia;
Liban;H;73;99;Lebanon;
Libéria;B;175;100;Liberia;
Liechtenstein;TH;24;101;Liechtenstein;
Lituanie;TH;41;102;Lithuania;
Luxembourg;TH;26;103;Luxembourg;
Lybie;H;64;104;Libya;
Macédoine;H;77;105;Macedonia;
Madagascar;B;150;106;Madagascar;
Malaisie;H;65;107;Malaysia;
Malawi;B;171;108;Malawi;
Maldives;M;103;109;Maldives;
Mali;B;183;110;Mali;
Malte;TH;32;111;Malta;
Maroc;M;129;112;Morocco;
Maurice;H;79;113;Mauritius;
Mauritanie;B;154;114;Mauritania;
Mexique;H;61;115;Mexico;
Micronésie;M;116;116;Micronesia (Federated States of);
Moldavie;M;112;117;Moldovia;
Mongolie;M;108;118;Mongolia;
Montenegro;H;52;119;Montenegro;
Mozambique;B;186;120;Mozambique;
Namibie;M;127;121;Namibia;
Népal;B;156;122;Nepal;
Nicaragua;M;128;123;Nicaragua;
Niger;B;188;124;Niger;
Nigéria;B;152;125;Nigeria;
Norvège;TH;1;126;Norway;
Nouvelle-Zélande;TH;6;127;New Zealand;
Oman;H;83;128;Oman;
Ouganda;B;162;129;Uganda;
Ouzbekistan;M;114;130;Uzbekistan;
Pakistan;B;146;131;Pakistan;
Palau;H;53;132;Palau;
Palestine;M;109;133;Palestine, State of;
Panama;H;60;134;Panama;
Papouasie-Nouvelle-Guinée;B;155;135;;
Paraguay;M;110;136;Paraguay;
Pays-Bas;TH;4;137;Netherlands;
Pérou;H;76;138;Peru;
Philippines;M;113;139;Philippines;
Pologne;TH;39;140;Poland;
Portugal;TH;43;141;Portugal;
Qatar;TH;36;142;Qatar;
République centrafricaine;B;181;143;Central African Republic;
République Dominicaine;M;96;144;Dominican Republic;
République Tchèque;TH;28;145;Czech Republic;
Roumanie;H;56;146;Romania;
Royaume-Uni;TH;27;147;United Kingdom of Great Britain and Northern Ireland;
Russie;H;55;148;Russia;
Rwanda;B;168;149;Rwanda;
Saint Kitts et Nevis;H;74;150;Saint Kitts et Nevis;
Sainte-Lucie;H;87;151;Saint Lucia;
Saint-Vincent;H;82;152;Saint-Vincent;
Salvador;M;106;153;El Salvador;
Samoa;M;98;154;Samoa;
Sao Tome et Principe;B;143;155;Sao Tome and Principe;
Sénégal;B;153;156;Senegal;
Serbie;H;66;157;Serbia;
Seychelles;TH;46;158;Seychelles;
Sierra Leone;B;178;159;Sierra Leone;
Singapour;TH;19;160;Singapore;
Slovaquie;TH;35;161;Slovakia;
Slovénie;TH;22;162;Slovenia;
Somalie;B;NA;NA;Somalia;
Soudan;B;172;163;Sudan;
Soudan du Sud;B;172;163;South Sudan;
Sri Lanka;H;91;164;Sri Lanka;
