Provider;Country;Duration;Workload;Examination;Certificate;Languaage;Date;Subject;Tags;Subtitles;Course.name;NA
FutureLearn;United Kingdom;7 Weeks;3 hours/week;No Exam or Final Project;Yes, Verified Certificate (Paid);English;Starts early 2016;No prior knowledge is assumed, but an interest in music and/or audio would be beneficial. Participants should have access to a stereo pair of loudspeakers for replay of audio examples.;Music, Film & Audio;MusicAudioListeningProductionSound;Critical listening for studio production (FutureLearn);Queen’s University Belfast
edX;USA;4 Weeks;2-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 15th 2016;"""Statistics and R for the Life Sciences"" or intro to statistics and basic programming";Biology & Life SciencesStatistics & Data Analysis;BiocondutorBiological DataBiology;Data Analysis for Life Sciences 4: High-Dimensional Data Analysis (edX);Harvard University
edX;USA;7 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jan 12th 2016;High school level of mathematics and chemistry is recommended.;Biology & Life SciencesEnergy & Earth SciencesEngineering;Water TreatmentWastewaterTreatment TechnologiesWaterWater Quality;CTB3365DWx: Introduction to Drinking Water Treatment (edX);Delft University of Technology
Coursera;USA;6 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jan 11th 2016;Crypto I Course. Knowledge of discrete probability. Some programming background ;Computer Science: Systems, Security, NetworkingComputer Science: Theory;ComputerCryptographyProgramming;Cryptography II (Coursera);Stanford University
Coursera;Russia;10 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Russian;No sessions available;Знание микроэкономики, макроэкономики на базовом уровне.;Economics & Finance;EconomicsLabor Market;Экономика труда (Labor economics) (Coursera);Higher School of Economics (HSE) - National Research University
European Schoolnet Academy;Belgium;6 Weeks;2 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;To be announced;Anybody is welcome to join the course but it is targeted at classroom practitioners and other educational professionals working in schools who are interested in innovation in teaching & learning.;Teacher Professional Development;TeacherEducationClassroomEducational TechnologyTeacher DevelopmentTeacher Education;Future Classroom Scenarios (European Schoolnet);European Schoolnet
Miríada X;México;6 Weeks;5 hours/week;No Exam and/or Final Project information;No certificate information;Spanish;To be announced;Uso básico de computadora, office e internet;Food and NutritionHealth & Society;NutritionFoodHealthy FoodHealth;Alimentación Saludable (Miríada X);Universidad de Celaya
Miríada X;Spain;7 Weeks;5 hours/week;No Exam and/or Final Project information;No certificate information;Spanish;To be announced;Este curso requiere conocimientos previos sobre operaciones con conjuntos (aunque se incluye un vídeo para repasarlos), operaciones con fracciones y cálculo de integrales definidas de polinomios. ;Mathematics;ProbabilityMath;Probabilidad básica (Miríada X);Universidad Politécnica de Cartagena
European Schoolnet Academy;Belgium;8 Weeks;2-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;To be announced;This course is open to anybody interested in STEM subjects, however, it is mainly addressed to science, engineering, technology and math teachers, career advisers and school counselors.;Teacher Professional Development;EducationTeachingInnovationSTEMTeacher DevelopmentTeacher Education;Innovative Practices for Engaging STEM Teaching (European Schoolnet);European Schoolnet
Miríada X;Spain;4 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Spanish;To be announced;Este curso requiere conocimientos previos mínimos: operaciones básicas, raíz cuadrada, representación de puntos y rectas en el plano.;MathematicsStatistics & Data Analysis;MathStatistics;Estadística descriptiva (Miríada X);Universidad Politécnica de Cartagena
Miríada X;Spain;12 Weeks;5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Spanish;To be announced;Conocimientos iniciales de Excel. No son necesarios conocimientos previos de Macros.;Computer Science: Programming & Software EngineeringPersonal & Professional Development;ExcelVBADatabases;Excel Avanzado (Miríada X);Universidad Rey Juan Carlos
FutureLearn;Israel;3 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Nov 30th 2015;This course is designed for anyone with an interest in the Holocaust, including students, teachers, academics and policy-makers.;Humanities;HolocaustJewsJudaism;The Holocaust: an Introduction - Part 2 (FutureLearn);Tel Aviv University
Miríada X;Spain;8 Weeks;3-4 hours/week;No Exam and/or Final Project information;No certificate information;Spanish;To be announced;No se requieren.;Information, Technology, and DesignPersonal & Professional Development;Personal DevelopmentDigital SkillsSkills;Ibervirtual COMA: Competencias Digitales Básicas (Miríada X);UNED
European Schoolnet Academy;Belgium;3 Weeks;2-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;To be announced;Anybody is welcome to join the course but it is targeted at teachers and other educational professionals interested in competence-based education.;Teacher Professional Development;EducationTeacher DevelopmentTeacher EducationTeachingLearning;Competences for 21st Century Schools (European Schoolnet);European Schoolnet
Miríada X;Spain;12 Weeks;7-9 hours/week;Yes, Free Exam and/or Final Project;No certificate information;Spanish;To be announced;Estudiantes de Magisterio, Pedagogía, y Psicopedagogía.;EducationTeacher Professional Development;EducationTeacher Education;La tutoría en la escuela (Miríada X);UNED
European Schoolnet Academy;Belgium;6 Weeks;1-2 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;To be announced;The course is aimed at primary and secondary school teachers but anyone interested in the topic can join.;Teacher Professional Development;EducationTeacher DevelopmentTeacher EducationTeachingGamesGaming Tools;Games in Schools (European Schoolnet);European Schoolnet
Miríada X;Spain;8 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;No certificate information;Spanish;To be announced;No se requieren.;EducationPersonal & Professional Development;MOOCEducationVideo Production;Mini-vídeos docentes modulares: un elemento crítico en el diseño de un MOOC (Miríada X);UNED
Miríada X;Spain;5 Weeks;4 hours/week;No Exam and/or Final Project information;No certificate information;Spanish;To be announced;Biología, Medicina o Veterinaria.;Biology & Life SciencesMedicine & Pharmacology;Human ParasitologyParasitologyParasitic;Parasitología humana (Miríada X);Universidad Complutense de Madrid
European Schoolnet Academy;Belgium;6 Weeks;2 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;To be announced;Some basic understanding on how to operate computers and software is required for this course.;Teacher Professional Development;ComputingTeacher DevelopmentTeacher EducationTeachingSecondary Teachers;How to Teach Computing: An Introduction to Concepts, Tools and Resources for Secondary Teachers (European Schoolnet);European Schoolnet
